產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
單點電影,NY單身日記,2017-12-28,電影/單點電影/類型/愛情 電影/單點電影/院線直送/院線直送 ,『★2015多倫多影展 ★都會男女換換愛 借精生子一夜情，一時婚頭變怨偶，愛錯人想退貨？前妻願意回收嗎？』紐約女孩瑪姬（葛莉塔潔薇飾演），在經歷幾段失敗的戀愛之後，決定找朋友捐精受孕，卻在此時愛上已婚作家約翰（伊森霍克飾演），約翰更在瑪姬準備DIY受孕時上門告白！兩人天雷地火滾了一夜床單，約翰之後甩了事業成功卻歇斯底里的妻子喬吉雅（茱莉安摩爾飾演），並與瑪姬閃婚。兩人的女兒誕生後，約翰埋首於寫作上，不再與瑪姬產生愛戀火花，此時瑪姬才發現，約翰與喬吉雅才是天生一對，便產生「退貨」念頭，找上喬吉雅，說服她加入,"葛莉塔潔薇,伊森霍克,茱莉安摩爾",多螢,http://mod.cht.com.tw/video/movie-details.php?id=407099,http://mod.cht.com.tw/img/iappic/407099.jpg,2017-10-06 21:53:00
單點電影,傳奇麥拉倫,2018-03-07,電影/單點電影/類型/紀錄片 ,麥拉倫這個名字代表的不僅是卓越的賽車水準，更是頂尖的汽車品牌。然而這個品牌的創立者—一位來自新西蘭的年輕人背後的故事卻鮮為人知。他是追尋夢想的拓荒者，力挽狂瀾的團隊領袖，也是賽車比賽的冠軍和萬眾矚目的英雄。儘管英年早逝，布魯斯為後世留下了珍貴的遺產，時至今日，他的抱負、激情和追求革新的精神仍有力地推動著高級汽車工程的發展。這是一個出身卑微的年輕男孩勇於涉足精英賽車世界並取得冠軍的激勵人心的故事。,德韋恩卡麥隆,,http://mod.cht.com.tw/video/movie-details.php?id=439899,http://mod.cht.com.tw/img/iappic/439899.jpg,2017-10-06 21:53:00
單點電影,天才柏金斯,2017-12-28,隨選影片/口碑電影 電影/單點電影/類型/劇情 ,『★傳奇編輯真人實事 ★柏林影展競賽片 二十世紀最偉大的編輯，發掘海明威、費茲傑羅等偉大作家，文學傳奇幕後推手』真人真事傳記改編，全球知名作家的幕後推手！麥斯威爾柏金斯（柯林佛斯 飾）是二十世紀最富傳奇性與盛名的編輯，他在紐約史克萊柏納出版社任職期間，力排眾多反對聲浪，出版費茲傑羅及海明威的作品，讓兩人成為廣受注目的暢銷作家，更成為文學史上的超級巨擘。一天，柏金斯收到一疊厚達60公分的小說手稿時，頓時對這位神秘不知名的作家湯瑪斯沃爾夫（裘德洛 飾）充滿好奇，柏金斯感受到沃爾夫身上無比旺盛的創作能量，決心幫,"柯林佛斯,裘德洛,妮可基嫚,蘿拉琳妮",多螢,http://mod.cht.com.tw/video/movie-details.php?id=451063,http://mod.cht.com.tw/img/iappic/451063.jpg,2017-10-06 21:53:00
單點電影,新世紀福爾摩斯第四季第二集：躺下的偵探,2017-12-28,隨選影片/口碑電影 電影/單點電影/類型/劇情 ,最新的第四季第二集中，戰無不勝的福爾摩斯將首次嚐到孤單無助的壓迫感！夏洛克面臨偵探生涯最令人戰慄的對手：強大且無懈可擊的克芬頓史密斯。這個神祕黑暗的敵人，用計離間了曾經團結的搭檔，失去華生的夏洛克彷彿墜入地獄，單打獨鬥的他能否找到反擊的方法？,"班尼狄克康柏拜區,馬丁費里曼,阿曼達艾賓頓,馬克加蒂斯,魯伯特格雷夫斯,托比瓊斯",多螢,http://mod.cht.com.tw/video/movie-details.php?id=417347,http://mod.cht.com.tw/img/iappic/417347.jpg,2017-10-06 21:53:00
單點電影,吹夢巨人(全年),2017-12-05,電影/單點電影/類型/動作 電影/單點電影/全年無限看 ,※本片提供國、英語雙語服務，請按#字鍵切換。月黑風高的夜晚，把門鎖上，把窗關緊，別開燈，別出聲，否則會招惹來巨大的不速之客。小女孩蘇菲，在一個失眠的夜晚，被大巨人偷偷從孤兒院帶走。原來每天晚上，當所有的人都進入了夢鄉，卻有九個大巨人卡滋卡滋的把孩童當豆子嚼。,"馬克勞倫斯,盧比芭爾后,蕾貝卡霍爾",,http://mod.cht.com.tw/video/movie-details.php?id=407648,http://mod.cht.com.tw/img/iappic/407648.jpg,2017-10-06 21:53:00
單點電影,星際爭霸戰：闇黑無界,2018-07-31,電影/單點電影/類型/動作 ,《星際爭霸戰》原班人馬再度出擊，續集將繼續寇克艦長和同伴們的探險旅程。我們所熟悉的英雄們將被捲入詭譎多變的生死決鬥......,班尼迪克康柏拜區,,http://mod.cht.com.tw/video/movie-details.php?id=453080,http://mod.cht.com.tw/img/iappic/453080.jpg,2017-10-06 21:53:00
單點電影,指甲刀人魔,2018-01-11,電影/單點電影/類型/喜劇 ,陽光衝浪男孩鄭繼文(張孝全 飾)在和女友分手後，心情十分受挫，便時常在酒吧喝酒療傷。個性古怪的女孩─凱儀(周冬雨 飾)突然闖進他的生活，兩人交往一段時間後突然大爆料，凱儀聲稱自己是從小到大只吃指甲刀的「指甲刀人魔」，並希望繼文借她錢開家餐廳，讓更多和她一樣的社會邊緣人勇敢地站出來，但沒想到生意不善，店面廉價出售，而且凱儀也隨之失去聯絡。繼文的朋友都覺得是場騙局，而繼文卻深信凱儀會回來找他…,"張孝全,周冬雨,納豆,謝依霖,許瑋甯,鄭伊健",多螢,http://mod.cht.com.tw/video/movie-details.php?id=458300,http://mod.cht.com.tw/img/iappic/458300.jpg,2017-10-06 21:53:00
單點電影,神鬼奇航2：加勒比海盜,2018-05-31,電影/主編精選/神鬼奇航 電影/單點電影/類型/動作 ,船長傑克和鐵匠威爾再度攜手展開冒險，在這趟汪洋冒險旅途中，他們將遇到深海閻王…。,"強尼戴普,奧蘭多布魯,綺拉奈特莉,比爾奈伊,史戴倫史柯斯嘉",,http://mod.cht.com.tw/video/movie-details.php?id=438535,http://mod.cht.com.tw/img/iappic/438535.jpg,2017-10-06 21:53:00
單點電影,攻殼機動隊,2019-01-25,電影/單點電影/類型/動作 電影/單點電影/熱門排行/熱門排行 電影/單點電影/院線直送/院線直送 ,電影故事講述在不久的未來，少校（史嘉蕾喬韓森 飾）是全新人種的第一人：她本來是一個擁有血肉之軀的人類，但是在發生一場意外被救回一命之後，被裝上強化的生化電子義體，成為一個完美的戰士，致力於打擊世上最危險的罪犯。當恐怖行動發展到了極端，包括能夠駭進人類的大腦和意識，並且控制他們的行為，只有少校擁有的獨特能力能夠阻止新一代的恐怖份子。但是當她面對一個全新的敵人，少校這才赫然發現她所知道的一切都是謊言：她的人生並沒有受到拯救，而是完全被偷走。她將不計代價、竭盡所能，重拾她的記憶、揪出偷走她人生的原兇，並且阻止他,史嘉蕾喬韓森,,http://mod.cht.com.tw/video/movie-details.php?id=448187,http://mod.cht.com.tw/img/iappic/448187.jpg,2017-10-06 21:53:00
單點電影,金權性內幕,2017-12-07,電影/單點電影/類型/劇情 電影/單點電影/院線直送/院線直送 ,世界上只有1%的人能成為王者，盡享金權慾望，你，願意出賣自己嗎？主角朴泰秀原是小混混，到處聚眾滋事、與崔斗日時常一起出入不良場所。某天，因為目睹爸爸被檢察官羞辱，意識到了權力的重要性，便憑著過人的智商通過司法考試，踏上追逐權力之路。,"鄭雨盛,趙寅成,金亞中,柳俊烈,裴晟佑,金義聖",多螢,http://mod.cht.com.tw/video/movie-details.php?id=450886,http://mod.cht.com.tw/img/iappic/450886.jpg,2017-10-06 21:53:00
單點電影,深林搶案,2017-12-21,電影/單點電影/類型/動作 ,十七歲的亞倫史蒂文是一名高中生，當他像平常一樣在樹林裡走路時，卻將自己捲入了一件五百萬美元的銀行搶劫事件…,"貝西霍夫曼,卡爾貝利,雅各布布朗,韋恩V約翰遜,浦希拉安福德,普雷斯利馬薩拉",多螢,http://mod.cht.com.tw/video/movie-details.php?id=454355,http://mod.cht.com.tw/img/iappic/454355.jpg,2017-10-06 21:53:00
單點電影,愛在回家時,2017-12-21,電影/單點電影/類型/劇情 電影/單點電影/院線直送/院線直送 ,在適者生存的獵人頭公司工作，生活必然充斥著各式難解習題，丹尼詹森是一名冷酷無情的獵人頭專員，當他好不容易實現多年來的夢想，擊敗他的頭號競爭強敵，準備接管工作多年的職業介紹所時，一場意外的家庭悲劇，卻為他的私生活與職涯帶來了劇烈衝突……,"潔瑞德巴特勒,威廉達佛,愛莉森布里,珂茜莫爾,艾爾菲摩里納",多螢,http://mod.cht.com.tw/video/movie-details.php?id=452212,http://mod.cht.com.tw/img/iappic/452212.jpg,2017-10-06 21:53:00
單點電影,螢火蟲之墓,2017-12-28,電影/單點電影/類型/動畫 ,清太14歲，節子4歲。在這片燃燒殆盡的大地上，他們散放出生命中最努力的微光…太平洋戰爭末期住在神戶的一對兄妹因空襲而失去了父母及家園，而後借住在親戚的家裡，卻遭受到輕視與冷淡的對待。於是兄妹兩決定不假借大人的力量，住在防空洞裡，開始了兩個人相依的生活。但迎面而來的卻是─超乎想像的殘酷與痛苦的每一天…,"辰巳努,白石綾乃,志乃原良子",,http://mod.cht.com.tw/video/movie-details.php?id=419217,http://mod.cht.com.tw/img/iappic/419217.jpg,2017-10-06 21:53:00
單點電影,移動迷宮,2017-11-12,電影/單點電影/類型/動作 ,湯瑪士與一群陌生的男孩受困於一座精心設計的殺人迷宮當中，他只記得一段很詭異的夢，以及一個叫「W.C.K.D」的神秘組織外，他已喪失對外面世界的記憶。為了脫困，湯瑪士只能憑藉著拼湊過去的零散記憶，以及找尋在迷宮中的蛛絲馬跡來解開所有的謎團。究竟他能揭開什麼樣的驚人祕密？而誰又是設計並操作這龐大又複雜迷宮的幕後黑手？,"狄倫歐布萊恩,威爾普爾特",,http://mod.cht.com.tw/video/movie-details.php?id=411491,http://mod.cht.com.tw/img/iappic/411491.jpg,2017-10-06 21:53:00
單點電影,毒槍,2018-01-11,電影/單點電影/類型/動作 ,里奇在童年時目睹雙親因手無寸鐵而遭槍殺，自此他認為人人應該擁槍自保，所以長大後便從事軍火買賣。在一次大宗買賣槍支中，出現了多年前的救命恩人安吉，里奇信任安吉而委任其為副手，想要一起打拼軍火生意，豈知安吉竟是警方派來的臥底而遭其出賣。,"方基墨,安娜麗妮麥考德,詹姆斯瑞馬",多螢,http://mod.cht.com.tw/video/movie-details.php?id=457419,http://mod.cht.com.tw/img/iappic/457419.jpg,2017-10-06 21:53:00
單點電影,腦筋急轉彎(全年),2018-05-31,電影/單點電影/類型/動畫 電影/單點電影/全年無限看 ,皮克斯年度作品《腦筋急轉彎》將帶領觀眾探索掌控我們喜怒哀樂的大腦的神秘世界，如此開創元素，已被媒體公認為年度最具原創故事。,"(配音)黛安蓮恩,愛咪波勒,凱爾麥克拉蘭",,http://mod.cht.com.tw/video/movie-details.php?id=444216,http://mod.cht.com.tw/img/iappic/444216.jpg,2017-10-06 21:53:00
單點電影,玩命關頭8,2017-12-07,電影/單點電影/類型/動作 電影/單點電影/熱門排行/熱門排行 電影/單點電影/院線直送/院線直送 ,故事描述這個全球趴趴走的團隊在大戰後似乎終於能夠回歸正常平靜的生活：唐老大和莉蒂正在二度蜜月，布萊恩和蜜雅則退出江湖，而所有的成員的犯罪紀錄也全獲撤銷，但是當一名神秘女子將唐老大誘入一個他似乎無法逃脫的犯罪世界，而他也被迫背叛他最親近的家人，他們全都必須面對前所未有的挑戰，並且接受最嚴峻的考驗。,"馮迪索,巨石強森,娜塔莉艾曼紐,史考特伊斯威特",,http://mod.cht.com.tw/video/movie-details.php?id=451300,http://mod.cht.com.tw/img/iappic/451300.jpg,2017-10-06 21:53:00
