產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
卡通199-動漫,齊木楠雄的災難,2017-11-30,動漫館-卡通199/輕鬆幽默/齊木楠雄的災難 ,在楠雄面前擺出「驚奇goo~」姿勢的國春爸爸。那似乎是近來超人氣的魔術師的招牌動作。看到國春拿出來的一張相片之後，楠雄才發現原來超人氣魔術師就是蝶野雨綠跟他的助手麥可。正當心理佩服他們終於出人頭地的時候，楠雄收到了他們寄出的一封招待信。他們到底成長了多少呢？,齊木楠雄,,http://mod.cht.com.tw/video/drama-details.php?id=412928,http://mod.cht.com.tw/img/iappic/412928.jpg,2017-10-06 21:56:42
卡通199-動漫,火影忍者P2,2017-11-30,動漫館-卡通199/熱血動作/火影忍者P2 ,自來也是個不折不扣的老色鬼，因此也鬧出不少笑話。雖然如此，鳴人還是從自來也身上學到了不少東西。,"鳴人,佐助",,http://mod.cht.com.tw/video/drama-details.php?id=205705,http://mod.cht.com.tw/img/iappic/205705.jpg,2017-10-06 21:56:42
卡通199-動漫,長騎美眉,2017-12-28,動漫館-卡通199/輕鬆幽默/長騎美眉 ,運動神經不好，無論做什麼事都無法堅持的亞美。對某日偶然看到小巧可愛的折疊腳踏車一見鍾情，並開始和好朋友葵一起享受騎腳踏車的樂趣。她也因此結識了同所大學的單車同好。在憧憬著學姊們口中風景和美食的亞美，因而展開向自我挑戰的腳踏車運動。,"東山奈央,五十嵐裕美,大久保瑠美",,http://mod.cht.com.tw/video/drama-details.php?id=420966,http://mod.cht.com.tw/img/iappic/420966.jpg,2017-10-06 21:56:42
卡通199-動漫,ACCA13區監察課,2018-01-25,動漫館-卡通199/綜合其他/ACCA13區監察課 動漫館-卡通199/日本連載/ACCA13區監察課 動漫館-卡通199/本週上架 ,第7集【漂浮於夜霧中的真相】在多瓦區的甜點店巧遇國王陛下，吉恩與尼諾於是在衛兵環繞之中與陛下一同享用了甜點，但吉恩卻沒想到這件事，竟可能與莫芙接下來告訴自己的重大消息密切相關…！,"吉恩．歐塔斯,尼諾",,http://mod.cht.com.tw/video/drama-details.php?id=461757,http://mod.cht.com.tw/img/iappic/461757.jpg,2017-10-06 21:56:42
卡通199-動漫,疾走王子,2017-11-30,動漫館-卡通199/運動競技/疾走王子 ,第12集 【夏季尾聲通往遙遠的前方】南學園與西星學園的最後一戰開始了，雙方為了晉級決賽，延續夏天，在夏季尾聲奪得勝利，不顧一切全力以赴，而陸與櫻井也在比賽的時候想起他們與尊的共同回憶，以及要在夏季尾聲奪得冠軍的約定…,"八神陸,藤原尊",,http://mod.cht.com.tw/video/drama-details.php?id=453130,http://mod.cht.com.tw/img/iappic/453130.jpg,2017-10-06 21:56:42
卡通199-動漫,末日時可以來拯救嗎,2017-12-28,動漫館-卡通199/魔幻冒險/末日時可以來拯救嗎 動漫館-卡通199/日本連載/末日時可以來拯救嗎 ,第12話【世界上最幸福的女孩】，成群的第六獸襲擊而來，奈芙蓮、菈恩托露可與娜芙德展開迎擊。然而，面對第六獸壓倒性的數量她們漸漸地被逼上絕路。威廉也抱著負傷的身體迎戰第六獸！「即使如此，你的存在對珂朵莉來說，一定是一種救贖。」,"新井良平,田所梓",,http://mod.cht.com.tw/video/drama-details.php?id=444584,http://mod.cht.com.tw/img/iappic/444584.jpg,2017-10-06 21:56:42
卡通199-動漫,快盜天使,2017-12-28,動漫館-卡通199/魔幻冒險/快盜天使 動漫館-卡通199/日本連載/快盜天使 ,活潑開朗的天月巡與內斂沉靜的如月堇，在名為牛奶的神祕刺蝟之命令下變身為快盜天使。個性截然不同的兩人，將會如何互相合作打倒惡勢力，開拓嶄新的未來呢？「快盜天使TWIN ANGEL系列」10週年紀念動畫作品，登場！,,,http://mod.cht.com.tw/video/drama-details.php?id=445433,http://mod.cht.com.tw/img/iappic/445433.jpg,2017-10-06 21:56:42
卡通199-動漫,魔法科劣等生,2017-12-28,動漫館-卡通199/科技未來/魔法科劣等生 ,故事起源於進入魔法科高中就讀的一對親兄妹。言行舉止帶著達觀氣息的劣等生哥哥，以及愛慕哥哥之心更勝親情的優等生妹妹，從這兩人跨入這座名校校門開始，原本和平的校園，即將面臨波瀾萬丈的每一天……,,,http://mod.cht.com.tw/video/drama-details.php?id=459598,http://mod.cht.com.tw/img/iappic/459598.jpg,2017-10-06 21:56:42
卡通199-動漫,實力至上教室,2017-12-28,動漫館-卡通199/熱血動作/實力至上教室 動漫館-卡通199/日本連載/實力至上教室 動漫館-卡通199/本週上架 ,"第十二話【所謂的天才,指的是比瘋狂更上一階的人】，堀北鈴音判斷偷走鑰匙卡的人是伊吹，而冒雨追趕逃走的伊吹，兩人大打一架，但鈴音也因為病況更嚴重，不得不面臨淘汰出局，回船上休養的情況。而考試的最後一天終於到來，葛城已經算好A班和其他班最後能得到的點數，準備迎接最終的勝利，然而考試的結果公布之後，真的能他所預料嗎？","千葉翔也,鬼頭明里",,http://mod.cht.com.tw/video/drama-details.php?id=461857,http://mod.cht.com.tw/img/iappic/461857.jpg,2017-10-06 21:56:42
卡通199-動漫,戀愛與謊言,2017-12-28,動漫館-卡通199/青春浪漫/戀愛與謊言 動漫館-卡通199/日本連載/戀愛與謊言 ,第十二話【戀愛與謊言】，根島家和真田家一起去溫泉旅行。由佳吏和莉莉奈被安排在同一個房間，莉莉奈對無法入睡的由佳吏，說出想解除政府配對的提議。由佳吏卻對莉莉奈的提議感到猶豫不決……,"花澤香菜,逢坂良太",,http://mod.cht.com.tw/video/drama-details.php?id=460129,http://mod.cht.com.tw/img/iappic/460129.jpg,2017-10-06 21:56:42
卡通199-動漫,影子籃球員,2017-12-28,動漫館-卡通199/運動競技/影子籃球員 ,春天，誠凜高中籃球社正迎接新進社員。主將日向和教練里子最關注的，是從美國回來的大個子火神大我，以及畢業於國中籃球界王者帝光國中的黑子哲也。在小比賽裡，火神馬上展現出壓倒性的存在感以及天賦的才能。另一方面，黑子的存在感則薄弱到沒有人注意到他的存在。但是黑子其實擅長利用自己的低存在感，使用misdirection的手法，傳出看不見的傳球，原來他就是帝光國中「奇蹟世代」的夢幻第六人！,黑子哲也,,http://mod.cht.com.tw/video/drama-details.php?id=403212,http://mod.cht.com.tw/img/iappic/403212.jpg,2017-10-06 21:56:42
卡通199-動漫,K-ON！輕音部,2018-12-31,動漫館-卡通199/青春浪漫/K-ON！輕音部 ,番外篇【Live House！】，律在國中時代認識的朋友，邀請他們去Live House演出，而且是在除夕夜。澪與梓原本一開始不願答應參加，但經過大家的一番說服後，最後才總算能夠以「放學後Tea Time」團名參加演出。,"平沢唯(聲：豐崎愛生),秋山澪(聲：日笠陽子),田井中律(聲：佐藤聰美),琴吹紬(聲：壽美菜子),中野梓(聲：竹達彩奈) nbsp",,http://mod.cht.com.tw/video/drama-details.php?id=406447,http://mod.cht.com.tw/img/iappic/406447.jpg,2017-10-06 21:56:42
卡通199-動漫,超級機器人大戰,2018-05-31,動漫館-卡通199/科技未來/超級機器人大戰 動漫館-卡通199/本週上架 ,第1集【紅色衝擊】，這是個被稱為新西元的時代。距離軍事組織「聖十字軍（DC）」崛起而引發的「DC戰爭」、以及與外星人虛空使者爭鬥的「L5戰役」已過了半年……由響介所率領的地球聯邦軍特殊作戰PT部隊「ATX小隊」，為了執行討伐DC殘黨的任務而前往極東地區。在戰鬥中，響介跟他的搭檔艾克瑟蓮的面前突然出現一架神秘的人型機動兵器。這架外觀像天使的機體，究竟是敵是友呢？,"小野健一,森川智之,水谷優子,杉田智和,青木崇,山口勝平,綠川光",,http://mod.cht.com.tw/video/drama-details.php?id=461752,http://mod.cht.com.tw/img/iappic/461752.jpg,2017-10-06 21:56:42
卡通199-動漫,漂流武士,2017-11-30,動漫館-卡通199/魔幻冒險/漂流武士 ,第12集【看著我☆新選組~熱戰九州男兒之歌~】，黑王的軍隊在吃到苦頭之後，迅速撤退並且分散各處，化整為零，而島津的軍隊雖然有火力優勢，卻因為訓練不足無法分頭進擊，還容易暴露這個弱點，讓信長苦惱不已，幸虧迦太基的雷光裝瘋賣傻般的提示讓信長恍然大悟，於是趁著島津拖住敵軍指揮土方的時候，設下了一個大陷阱。,島津豐久,,http://mod.cht.com.tw/video/drama-details.php?id=412439,http://mod.cht.com.tw/img/iappic/412439.jpg,2017-10-06 21:56:42
卡通199-動漫,美好世界2,2017-12-28,動漫館-卡通199/青春浪漫/美好世界2 動漫館-卡通199/日本連載/美好世界2 ,「佐藤和真」在某天外出時，遇上交通意外而身亡。原本應該已經死掉的和真等他再次醒來時，眼前出現一名自稱女神「阿克婭」詢問他是否要轉生去異世界。帶著女神轉生到異世界的和真以為可以就此展開冒險，沒想到卻得為了生活而努力工作！此時，阿克婭接二連三地引發問題，使他們被魔王軍給盯上了……,,,http://mod.cht.com.tw/video/drama-details.php?id=427543,http://mod.cht.com.tw/img/iappic/427543.jpg,2017-10-06 21:56:42
卡通199-動漫,火影忍者P4,2017-11-30,動漫館-卡通199/熱血動作/火影忍者P4 ,雷牙在蘭丸的幫助之下起死回生後，在雷擊的助力下功力更勝一籌，陸續打敗了鳴人他們，而山椒婆婆則是打算用生命的咖哩為鳴人他們加油打氣…,"鳴人,佐助",,http://mod.cht.com.tw/video/drama-details.php?id=208207,http://mod.cht.com.tw/img/iappic/208207.jpg,2017-10-06 21:56:42
卡通199-動漫,Joker Game,2017-11-30,動漫館-卡通199/綜合其他/Joker Game ,第12集【XX-Double X 】，柏林匯報的記者: 卡爾．史耐德，有身為蘇聯及德國雙重間諜的嫌疑。D機關尋找他作為間諜的證據時，他卻因不明原因而死亡…。,結城中校,,http://mod.cht.com.tw/video/drama-details.php?id=422982,http://mod.cht.com.tw/img/iappic/422982.jpg,2017-10-06 21:56:42
卡通199-動漫,動物朋友,2017-12-28,動漫館-卡通199/魔幻冒險/動物朋友 動漫館-卡通199/日本連載/動物朋友 ,第12集【遊樂園】，背包對付超大天藍的作戰計劃進行得並不順利，先是藪貓被吃掉，後來背包為了救藪貓也被吃掉了，幸好背包是人類，人類變回原來的樣子還是人類，最後在所有動物朋友同心協力下終於消滅了超大天藍，並且再次開啟了傑帕力公園的遊樂園…,"藪貓,背包",,http://mod.cht.com.tw/video/drama-details.php?id=442385,http://mod.cht.com.tw/img/iappic/442385.jpg,2017-10-06 21:56:42
卡通199-動漫,影子籃球員P3,2017-12-28,動漫館-卡通199/運動競技/影子籃球員P3 ,第1集【我只是全力以赴】，誠凜高中籃球隊，確定進入冬季選拔賽的準決賽。連續擊敗擁有「奇蹟世代」青峰的桐皇學園，與擁有紫原的陽泉的誠凜，對準決賽重新定決心。受到黑子的鼓舞，到會場外與冰室和解的火神，看見冰室與亞莉克斯被一名男子纏上而挺身相助。那名男子是福田綜合學園的灰崎祥吾。據說他來自帝光國中，也是黃瀨加入籃球隊前的一軍先發球員……,"黑子哲也,火神大我,黃瀨涼太,笠松幸男,綠間真太郎,青峰大輝,紫原敦,赤司征十郎",,http://mod.cht.com.tw/video/drama-details.php?id=413789,http://mod.cht.com.tw/img/iappic/413789.jpg,2017-10-06 21:56:42
卡通199-動漫,Hina Logic,2017-12-28,動漫館-卡通199/魔幻冒險/Hina Logic 動漫館-卡通199/日本連載/Hina Logic ,第十二話【12 雛鳥一笑萬福臨門】，轉眼間畢拉利學園的結業式將近，學園最高年級生的夕子等人也將畢業。針對去年底發生的事件，阿爾卡對妮娜的行動給予高度的評價，也就是妮娜終於得到了回到阿爾卡的機會！然而希望妮娜能繼續留在畢拉利學園的彌生等人決定展開慰留行動！,"朝日奈丸佳,山村響",,http://mod.cht.com.tw/video/drama-details.php?id=460025,http://mod.cht.com.tw/img/iappic/460025.jpg,2017-10-06 21:56:42
卡通199-動漫,青年黑傑克,2017-11-30,動漫館-卡通199/綜合其他/青年黑傑克 ,第12話【躁動的季節】，東大暴動事件助長學運風潮蔓延到全國，但卻有部份學生以暴力革命為宗旨，抗爭手段也越發激進。在這樣的時空背景下，間黑男邂逅了今上艾莉。但艾莉選擇與激進份子為伍，卻也為自己招來致命危機…,間黑 男,,http://mod.cht.com.tw/video/drama-details.php?id=406578,http://mod.cht.com.tw/img/iappic/406578.jpg,2017-10-06 21:56:42
卡通199-動漫,我太受歡迎了該怎麼辦,2017-12-28,動漫館-卡通199/青春浪漫/我太受歡迎了該怎麼辦 ,第12話【我太受歡迎了該怎麼辦】，六見在經過與一馬之間的比賽後向花依告白。這突如其來的行動讓五十嵐、七島、四之宮和二科掩飾不住心中的不安。還試圖妨礙六見更進一步的行動，不過最終他們跟六見一起，將自己率直的心意傳達給花依。花依接受來自五人的告白，打算跟五個人各自來場約會……。,"小林優,松岡禎丞,小野友樹",,http://mod.cht.com.tw/video/drama-details.php?id=411556,http://mod.cht.com.tw/img/iappic/411556.jpg,2017-10-06 21:56:42
卡通199-動漫,魔導少年S1(A),2017-12-28,動漫館-卡通199/魔幻冒險/魔導少年S1(A) ,第112話【說不出的一句話】，布魯諾特的真正目的，是得到妖精尾巴三大魔法之一的妖精光輝，而順利到達梅比斯墳前的卡娜，意外發現了妖精光輝，為拯救正在受難的同伴，卡娜決定利用這項魔法去對付敵人，但沒想到布魯諾特非泛泛之輩，就在大家危急時，吉爾達茲出現了。,"納茲,露西,格雷,艾爾莎",,http://mod.cht.com.tw/video/drama-details.php?id=166288,http://mod.cht.com.tw/img/iappic/166288.jpg,2017-10-06 21:56:42
卡通199-動漫,Rewrite2,2018-12-27,動漫館-卡通199/魔幻冒險/Rewrite2 ,第15集 【寧靜之海的蜜月】，就在瑚太朗找到小篝的所在地，並且一邊接收大量的高度智慧的同時，蓋亞的聖女加島櫻又派魔物過來攻擊他們，瑚太朗知道靠自己一人的力量無法保護小篝，於是他找來以前超研社的夥伴們，還有他的好同學吉野來助他一臂之力…,天王寺瑚太朗,,http://mod.cht.com.tw/video/drama-details.php?id=461758,http://mod.cht.com.tw/img/iappic/461758.jpg,2017-10-06 21:56:42
卡通199-動漫,神裝少女小纏,2017-12-28,動漫館-卡通199/魔幻冒險/神裝少女小纏 ,《Re：從零開始的異世界生活》等動畫的製作公司「WHITE FOX」所製作的原創和風魔法少女動畫。故事描述藉由神明憑依，藉此獲得驅逐惡靈力量的平凡少女們的故事。,"諏訪彩花,大空直美,戸松遙",,http://mod.cht.com.tw/video/drama-details.php?id=412583,http://mod.cht.com.tw/img/iappic/412583.jpg,2017-10-06 21:56:42
卡通199-動漫,東京ESP,2017-12-28,動漫館-卡通199/魔幻冒險/東京ESP ,凜華是一位高中女生，與父親過著貧窮的生活。某天，凜華在放學時看見了「會飛的企鵝」，她尾隨其後卻遇上了一群「遊在空中的魚」。其中一隻魚鑽進了凜華的身體，使她從此成為某種非人存在！？在東京上演的放學後超能力動作劇堂堂開幕！！,,,http://mod.cht.com.tw/video/drama-details.php?id=269308,http://mod.cht.com.tw/img/iappic/269308.jpg,2017-10-06 21:56:42
