產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
紀實149,星光好萊塢：布魯斯威利,2017-11-09,紀實149/人物傳記 ,【星光好萊塢】介紹了好萊塢最耀眼的巨星們私下的生活與事業。節目採訪、紅毯致詞、電影幕後隱藏花絮、首映致詞，涵蓋巨星尚未成名前的青澀樣貌到躍上頒獎台最動人的演說，【星光好萊塢】帶您一窺明星們的人生旅途。從安潔莉娜裘莉、強尼戴普、梅莉史翠普，到湯姆漢克、馬修麥康納、史嘉蕾韓森，迷人巨星風采無一遺漏。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=451955,http://mod.cht.com.tw/img/iappic/451955.jpg,2017-10-06 21:58:03
紀實149,榮耀之盡3,2017-11-23,紀實149/人物傳記 ,【榮耀之盡3】故事敘述貴族克里斯多夫先是愛上了荒淫的希薇亞，但結婚後她繼續荒淫。此時他又愛上了清純的瓦倫泰，面對心儀的女子，他只能將愛意藏在心中…一戰在即，克里斯多夫決定辭職從軍…。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=451946,http://mod.cht.com.tw/img/iappic/451946.jpg,2017-10-06 21:58:03
紀實149,寵物萌樂園S1第8集,2018-01-04,紀實149/寵物天地 紀實149/本週推薦 ,號稱世外桃源的夏威夷，除了擁有豐富的自然美景以外，也充滿了人與動物互動的感人故事。《寵物萌樂園》中動物被人類的愛提升到一個高境界，並以更高貴的情操回饋人類。細膩寫實的手法，捕捉了人與動物之間的感情與互助。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=461000,http://mod.cht.com.tw/img/iappic/461000.jpg,2017-10-06 21:58:03
紀實149,冒險王-極限火山滑板-尼加拉瓜,2018-01-04,紀實149/戶外冒險 紀實149/本週推薦 ,在尼加拉瓜，我們來到了這個比台灣慢十四個小時的國家，今天要尋找此生一定要做的冒險活動─火山滑板，體驗屬於尼加拉瓜的極限運動。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=463369,http://mod.cht.com.tw/img/iappic/463369.jpg,2017-10-06 21:58:03
紀實149,生命密碼-破譯遺傳代碼,2017-12-14,紀實149/知性新知 ,基因測序都檢測什麽？健康人也能去測基因測序？本集與你探尋神秘的基因檢測實驗室。,趙情晴,多螢,http://mod.cht.com.tw/video/movie-details.php?id=456051,http://mod.cht.com.tw/img/iappic/456051.jpg,2017-10-06 21:58:03
紀實149,美食的誕生2,2017-12-28,紀實149/美食生活 紀實149/本週推薦 ,樂園的香氣-辛香料：從咖哩的肉類料理到點心，辛香料到處隱藏在我們的食物中，神祕的植物帶來辛香料，對有些人來說它是一種宗教，又對某些人來說它是征服的對象，迷惑人類的樂園香氣。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=460886,http://mod.cht.com.tw/img/iappic/460886.jpg,2017-10-06 21:58:03
紀實149,天堂百貨第二季6,2018-01-04,紀實149/人物傳記 ,【天堂百貨第二季6】天堂百貨公司，在英國第一大百貨商場令人迷醉的輝煌中，重啟了第二季的大門。 隨著聰明伶俐、志向遠大又慷慨仗義的丹妮絲洛維特，這一季的故事開始於莫瑞向丹妮絲表白並失去天堂百貨公司這些戲劇性事件發生的一年之後。在莫瑞打破兩人的婚約後，被拋棄的凱薩琳嫁給了一位經歷複雜、神秘且令人敬畏的前軍官-湯姆韋斯頓。儘管她想開始新的生活，但是對莫瑞強烈的感情恐怕會將她拖入莫瑞及丹妮絲的三角戀之中。同時，莫瑞和丹妮絲，仍站在時尚與創新前端的兩個人，計畫不計代價的要將天堂百貨從凱薩琳和她丈夫手裡收回來。充滿了,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=460029,http://mod.cht.com.tw/img/iappic/460029.jpg,2017-10-06 21:58:03
紀實149,地球的生成-大峽谷,2017-12-14,紀實149/科學探索 ,長度近500公里且深度超過1公里的科羅拉多大峽谷，有賴劇烈的板塊活動與科羅拉多河的豐厚沖積物而形成。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=458256,http://mod.cht.com.tw/img/iappic/458256.jpg,2017-10-06 21:58:03
紀實149,提姆的動物狂想曲S1第2集,2017-11-23,紀實149/自然生態 ,本季，澳洲野生動物專家提姆為澳洲動物盡心盡力，從兇猛的鱷魚、帶劇毒的蜘蛛，到可愛的袋熊，以及眾人皆知最具澳洲代表性的無尾熊和袋鼠，也為拯救瀕臨絕種的袋獾進行袋獾方舟計畫。,提姆,多螢,http://mod.cht.com.tw/video/movie-details.php?id=454442,http://mod.cht.com.tw/img/iappic/454442.jpg,2017-10-06 21:58:03
紀實149,BP石油浩劫,2017-10-12,紀實149/時事追蹤 ,巴克.懷特(Barker White)目睹自己的家園和鄰近地區受到英國石油大規模的漏油事故汙染，決定揭發真相，在受影響最嚴重的地區旅行數千英哩，訪談了重要專家、英國石油承包商、政府官員與漁夫。讓我們跟著這個攝影團隊發掘人性的貪婪與墮落，才導致美國史上最大的人為環境浩劫。,,,http://mod.cht.com.tw/video/movie-details.php?id=445506,http://mod.cht.com.tw/img/iappic/445506.jpg,2017-10-06 21:58:03
紀實149,現代奇蹟-快遞,2017-10-26,紀實149/科學探索 ,有什麼奇怪貨品需要交寄遞送？我們將沿著高速公路，載送巨無霸的風力發電機葉片；還將藉著運輸潛艇載送豪華遊艇。,,,http://mod.cht.com.tw/video/movie-details.php?id=448003,http://mod.cht.com.tw/img/iappic/448003.jpg,2017-10-06 21:58:03
紀實149,隱藏的歌手第1集,2017-10-26,紀實149/音樂藝術 ,節目中每期會有1位知名原唱歌手和5個模仿者參與，站在六扇競演門後，共分四輪演繹原唱最經典的歌曲！,,,http://mod.cht.com.tw/video/movie-details.php?id=447870,http://mod.cht.com.tw/img/iappic/447870.jpg,2017-10-06 21:58:03
紀實149,味道天津6,2017-10-12,紀實149/美食生活 ,玩物養志：中秋將至，精心餵養的蛐蛐已到當打之年。擺戰場，稱重量，玩家上場，裁判監督，整個鬥蛐蛐的流程好不熱鬧。步入初冬，另一種鳴蟲蟈蟈的把玩也進入最佳時節。經過養蟲人精心餵養，優質的蟈蟈就成為玩家手中的摯愛。再配以精緻的如同藝術品一般的葫蘆，手握葫蘆聽蟲鳴，正是玩家們心中最美好的享受。,,,http://mod.cht.com.tw/video/movie-details.php?id=444817,http://mod.cht.com.tw/img/iappic/444817.jpg,2017-10-06 21:58:03
紀實149,魯豫有約-三毛-萬水千山走遍,2017-12-07,紀實149/人物傳記 ,親人獨家爆料文字之外的三毛，回應她的感情與外界傳聞，也揭開她的死亡之謎。同時，攝製組走進校園，來到三毛生前居住地，追憶她短暫卻絢爛的人生。,陳魯豫,多螢,http://mod.cht.com.tw/video/movie-details.php?id=455163,http://mod.cht.com.tw/img/iappic/455163.jpg,2017-10-06 21:58:03
紀實149,全球瘋旅遊：第3季-日本-沖繩,2017-11-02,紀實149/風土人文 ,有日本夏威夷之稱的沖繩，同時也是近年台灣人最愛前往度假的美麗海島之一。從台灣出發大約只要一小時就能輕鬆享受蔚藍的大海和精緻的日本文化，加上絕美的海底景觀還有吃不完的沖繩土產，令旅客流連忘返。世界知名的超人氣美麗海水族館更是大家心目中最受歡迎的景點，為名「黑潮之海」的大型水缸，巨大的鯨鯊和魟魚共游的畫面，令人深刻難忘！,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=449860,http://mod.cht.com.tw/img/iappic/449860.jpg,2017-10-06 21:58:03
紀實149,榮耀之盡6,2017-11-23,紀實149/人物傳記 ,【榮耀之盡6】故事敘述貴族克里斯多夫先是愛上了荒淫的希薇亞，但結婚後她繼續荒淫。此時他又愛上了清純的瓦倫泰，面對心儀的女子，他只能將愛意藏在心中…戰爭結束後，克里斯多夫回到家鄉，他終於見到了瓦倫泰…。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=451952,http://mod.cht.com.tw/img/iappic/451952.jpg,2017-10-06 21:58:03
紀實149,舞林爭霸第6集,2017-10-19,紀實149/音樂藝術 ,舞蹈真人秀節目。為專業舞者提供展示平臺，舞蹈種類涵蓋現代舞、嘻哈舞、國標舞分拉丁舞和摩登舞等舞蹈領域，為國內舞蹈愛好者提供了一個競爭、展示、交流平臺。,"金星,方俊,楊麗萍,陳小春",多螢,http://mod.cht.com.tw/video/movie-details.php?id=449961,http://mod.cht.com.tw/img/iappic/449961.jpg,2017-10-06 21:58:03
紀實149,冰凍星球-冬季,2017-11-02,紀實149/自然生態 ,【冰凍星球-冬季】《冰凍星球》（英語：Frozen Planet）為英國廣播公司與探索頻道及英國公開大學聯合製作的自然紀錄片，由大衛‧愛登堡旁白，2011年10月26日起於英國廣播公司第一台及高清頻道首播，共6集，主要展示棲息於北極和南極的動植物及其生境，本集內容為其系列作第五集冬季。,,,http://mod.cht.com.tw/video/movie-details.php?id=448001,http://mod.cht.com.tw/img/iappic/448001.jpg,2017-10-06 21:58:03
紀實149,館先生的日常生活：南管音樂的傳統與消逝(樂事美聲錄),2017-12-07,紀實149/音樂藝術 ,從台灣知名南管藝師吳素霞的日常生活與學生互動中，透過音樂教學及表演來展現南管音樂的特性，並從吳素霞藝師帶領我們參訪過往在台南參與南管的重要地點，談論當時的記憶與目前南管傳統的式微。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=455958,http://mod.cht.com.tw/img/iappic/455958.jpg,2017-10-06 21:58:03
紀實149,人類消失後的地球-假日地獄,2017-12-21,紀實149/科學探索 ,煙火工廠爆炸燦爛如花，聖誕樹肆無忌憚在農場裡恣意生長。當假期的意義不再，自度假村到豪華郵輪，雲霄飛車將一路滑落直達最惡之處。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=459020,http://mod.cht.com.tw/img/iappic/459020.jpg,2017-10-06 21:58:03
紀實149,榮耀之盡1,2017-11-23,紀實149/人物傳記 ,【榮耀之盡1】故事敘述貴族克里斯多夫先是愛上了荒淫的希薇亞，但結婚後她繼續荒淫。此時他又愛上了清純的瓦倫泰，面對心儀的女子，他只能將愛意藏在心中…克里斯多夫是個信仰傳統道德的貴族紳士，正直隱忍，潔身自好，而希薇亞是個典型的交際花，有著眾多情人的她過著終日紙醉金迷的生活…。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=451944,http://mod.cht.com.tw/img/iappic/451944.jpg,2017-10-06 21:58:03
紀實149,世界迷人城市-布宜諾斯艾利斯,2018-01-04,紀實149/風土人文 紀實149/本週推薦 ,這裡是探戈舞的發源地，更享有「南美巴黎」美譽。不同時期、風貌的建築在此多元林立，馬德羅港便是最新建築潮流的代表，老舊紅磚貨倉改建成高級餐廳、酒吧和電影院，懷舊又融合現代感。數不清的酒吧和咖啡廳，車水馬龍的街道和探戈舞廳，融合各地文化及風土民情，形塑出一座充滿動感、熱情浪漫的城市。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=460823,http://mod.cht.com.tw/img/iappic/460823.jpg,2017-10-06 21:58:03
紀實149,星光好萊塢：茱兒芭莉摩,2017-11-02,紀實149/人物傳記 ,【星光好萊塢】介紹了好萊塢最耀眼的巨星們私下的生活與事業。節目採訪、紅毯致詞、電影幕後隱藏花絮、首映致詞，涵蓋巨星尚未成名前的青澀樣貌到躍上頒獎台最動人的演說，【星光好萊塢】帶您一窺明星們的人生旅途。從安潔莉娜裘莉、強尼戴普、梅莉史翠普，到湯姆漢克、馬修麥康納、史嘉蕾韓森，迷人巨星風采無一遺漏。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=450513,http://mod.cht.com.tw/img/iappic/450513.jpg,2017-10-06 21:58:03
紀實149,寵物ER第6集,2017-11-30,紀實149/寵物天地 ,《寵物ER》透過不同寵物傷病診治的個案，帶出飼養寵物正確的知識和態度，更重要的是，還有治療過程當中的每個人，包括主人、獸醫、護士、家人…等等，希望通過展現他們的付出、抉擇和掙扎，讓無論有沒有飼養寵物的你，反思生命的價值。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=455180,http://mod.cht.com.tw/img/iappic/455180.jpg,2017-10-06 21:58:03
