產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
戲劇199,隱世者們,2018-01-04,戲劇苑-戲劇199/港劇/隱世者們 ,韋明(宣萱)要脅江寧(吳啟華)執行秘密任務，赴日本追捕慣犯辛子健(渡邊直美)。幹探張順安(陶大宇)對江寧身份有疑懷堅決追查到底。江寧為免妻兒受害，有意自殺。,"吳啟華,陶大宇,宣　萱,蘇永康,周群達,呂晶晶,趙碩之,駱應鈞",,http://mod.cht.com.tw/video/drama-details.php?id=440019,http://mod.cht.com.tw/img/iappic/440019.jpg,2017-10-06 21:54:32
戲劇199,房仲女王限時回歸,2018-01-18,戲劇苑-戲劇199/日劇/房仲女王限時回歸 ,三軒家萬智是史上最強房仲女王，口頭禪是「沒有我賣不掉的房子！」只要她經手，一定都能順利成交！她和屋代課長離開「帝光不動產」後，自立門戶開了「三主不動產」，至今已經兩年。,"北川景子,仲村亨,工藤阿須加",,http://mod.cht.com.tw/video/drama-details.php?id=458646,http://mod.cht.com.tw/img/iappic/458646.jpg,2017-10-06 21:54:32
戲劇199,于成龍,2017-12-07,戲劇苑-戲劇199/古裝．歷史劇/于成龍 ,攝政王多爾袞以八旗勁旅為國家根本所系應“如恩愛養”為由，于順治元年頒佈《圈地令》。圈地之風隨即在全國蔓延，大江南北無論有主無主民田熟地被隨意侵吞，策馬圈佔。老百姓如有投充者，削籍為奴，抗爭者拘捕下獄，老百姓民不聊生。,"成泰燊,王雅捷,巫剛,修慶,晉松,王繪春,劉芳毓,印小天,趙波",,http://mod.cht.com.tw/video/drama-details.php?id=449407,http://mod.cht.com.tw/img/iappic/449407.jpg,2017-10-06 21:54:32
戲劇199,放棄我，抓緊我,2017-12-28,戲劇苑-戲劇199/時裝．偶像劇/放棄我，抓緊我 ,中國著名婚紗品牌玲瓏和度正在巴黎舉辦如火如荼的時裝秀，勝利者將走出國門，入駐法國楓丹百貨。玲瓏的設計總監厲薇薇為了回應度公司總裁兼前男友陳亦度的發難，不惜在秀場向玲瓏總經理霍驍求婚，儘管她並不愛霍驍，厲薇薇只是把結婚當作提升玲瓏的一種方式。另一邊，度公司的一夥神秘競爭者陷害度公司的證據不小心遺失，幕後黑手的手下康星懷疑裝證據的U盤落到了厲薇薇手上，便派人溜進玲瓏秀場搜查，沒想到引發了火災。厲薇薇聽聞消息，立刻拋下在婚禮現場等著她結婚的未婚夫霍驍，直奔秀場。,"陳喬恩,王凱,喬任梁,陳燃,張鐸",,http://mod.cht.com.tw/video/drama-details.php?id=435922,http://mod.cht.com.tw/img/iappic/435922.jpg,2017-10-06 21:54:32
戲劇199,孤獨的美食家2,2018-03-08,戲劇苑-戲劇199/日劇/孤獨的美食家2 戲劇苑-戲劇199/最新上架/全劇完載/孤獨的美食家2 ,從事個人雜貨輸入生意的井之頭五郎，每每利用尋訪客戶的空檔探訪庶民美食。完成工作任務後，饑腸轆轆的他總會放下一切，專心地尋找著東京街頭巷尾能勾起他食慾的小店，與美食不期而遇。沉浸在一個人享受美食的時光，井之頭五郎內心除了美味心無旁騖，填飽肚子後煩惱也一掃而光。,松重豐,,http://mod.cht.com.tw/video/drama-details.php?id=461324,http://mod.cht.com.tw/img/iappic/461324.jpg,2017-10-06 21:54:32
戲劇199,靈異彼岸花,2018-01-25,戲劇苑-戲劇199/日劇/靈異彼岸花 ,即將舉辦東京奧運新運動場的開工典禮，來自海外的視察團將乘豪華郵輪，到會場預定地視察。不過卻在會場附近，發現跟蹤狂案件的被害者千鶴的遺體。 當一課的刑警雪乃在命案現場進行調查時，來宮渚突然出現，而且在現場留下一句話後就昏倒。而就在此時，警方發現網上有千鶴的殺害預告…,"崛北真希,檀麗,知英,高梨臨,大地真央",,http://mod.cht.com.tw/video/drama-details.php?id=397890,http://mod.cht.com.tw/img/iappic/397890.jpg,2017-10-06 21:54:32
戲劇199,孫老倔的幸福,2018-03-08,戲劇苑-戲劇199/時裝．偶像劇/孫老倔的幸福 戲劇苑-戲劇199/最新上架/全劇完載/孫老倔的幸福 ,退休老工人孫老倔，雖已到花甲之年，家裡的事總是讓他閒不下來。他看不慣小舅子一家對侄女的婚事漠不關心，於是鼓動老伴替侄女辦了婚禮。就在老倔洋洋得意時，外孫女帶回來個黑人男友讓全家震驚不已，孫老倔說什麼也不同意這門異國婚事，開始鬧絕食…,"李幼斌,朱茵,季肖冰,譚松韻",,http://mod.cht.com.tw/video/drama-details.php?id=461508,http://mod.cht.com.tw/img/iappic/461508.jpg,2017-10-06 21:54:32
戲劇199,巾幗梟雄之諜血長天,2017-12-28,戲劇苑-戲劇199/港劇/巾幗梟雄之諜血長天 ,日軍入侵廣州，張寄生就讀的大學被迫停課，趕去火車站途中看見女孩被火燒死，將僅有五個銀元給了三個予其家人。豈料最後一班火車票要三個銀元，寄生只好賣藝求一個銀元，幸得有心人贈銀元。火車上，贈銀元者突然走近要求寄生唱歌，為乘客帶來一點歡樂。寄生回家，從父親張來口中得悉青梅竹馬情人周細雞已報名入伍，即衝出去找他。細雞對著流水細說對寄生的思念和愛意，寄生聽到一切，甜在心頭。細雞坦言配不上寄生，寄生拉著他跪在其父母靈位前說要嫁給他，生死不離，細雞感動，二人拜堂成親。寄生為洞房悉心打扮，細雞卻不辭而別去當兵。,"黎耀祥,胡杏兒,蕭正楠,馬賽,陳自瑶,金剛,劉江,方伊琪",,http://mod.cht.com.tw/video/drama-details.php?id=454816,http://mod.cht.com.tw/img/iappic/454816.jpg,2017-10-06 21:54:32
戲劇199,醫龍3,2017-12-28,戲劇苑-戲劇199/日劇/醫龍3 ,101富士連線─朝田龍太郎離開明真大學附屬醫院數年後，明真因為野口賢雄的醜聞，造成患者劇減，而且外科醫師的水準也急速下降。,"小池徹平,稻森泉,佐佐木藏之介,阿部貞夫",,http://mod.cht.com.tw/video/drama-details.php?id=434755,http://mod.cht.com.tw/img/iappic/434755.jpg,2017-10-06 21:54:32
戲劇199,秀麗江山之長歌行,2017-12-28,戲劇苑-戲劇199/古裝．歷史劇/秀麗江山之長歌行 ,滹沱河畔，王郎的邯鄲追兵將劉秀一行人追至絕境，數千追兵在滹沱河畔冒頭紛紛叫囂，此時，陰麗華猶如冰雪中矯健的飛燕，滑向河面中央。,"林心如,袁弘,李佳航,王媛可",,http://mod.cht.com.tw/video/drama-details.php?id=428568,http://mod.cht.com.tw/img/iappic/428568.jpg,2017-10-06 21:54:32
