產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
好萊塢199,教父 2,2018-04-30,好萊塢199/類型/劇情 好萊塢199/劇情 ,全片以過去和現在交叉敘述的方式，一方面敘述麥可柯里昂（艾爾帕西諾 飾）如何擴張家族事業，另一方面描述他的父親柯里昂家族的第一代教父維托．柯里昂（勞勃狄尼洛 飾）在年輕時如何發跡，並成為教父的過程。,艾爾帕西諾,多螢,http://mod.cht.com.tw/video/movie-details.php?id=449901,http://mod.cht.com.tw/img/iappic/449901.jpg,2017-10-06 21:50:43
好萊塢199,情婦S1-02,2017-11-16,好萊塢199/類型/影集/情婦第一季 好萊塢199/影集/情婦第一季 ,薩凡納和丈夫哈裏之間的感情十分要好，兩人準備要個孩子，組成一個真正的家庭，然而哈裏不知道的是，看似溫柔賢惠的薩凡納曾經和同事多米尼克有過一段越軌的肉體關係。儘管生為姐妹，但約瑟琳和姐姐薩凡納的個性截然相反，她奔放愛玩，生活十分混亂。此外還有姐妹兩共同的朋友艾普拉和凱倫，她們一個想要擺脫充滿了悲傷回憶的過去，一個陷入了一段註定沒有結果的戀情之中。,"瑞琪爾艾蒂絲,傑斯麥卡蘭,布雷特塔克",多螢,http://mod.cht.com.tw/video/movie-details.php?id=420751,http://mod.cht.com.tw/img/iappic/420751.jpg,2017-10-06 21:50:43
好萊塢199,罪案第六感S3-04,2017-12-21,好萊塢199/類型/影集/罪案第六感第三季 好萊塢199/影集/罪案第六感第三季 ,丹尼爾是人類行為學以及神經科學方面的權威，但旁人所不知的是，他其實是個精神分裂癥的患者。為了防止誘發自己的癥狀，他除了教課外盡量避免與人交際，過著孤隱且程式化的生活。然而他過去最得意的學生——年輕貌美的FBI特工凱特·莫雷提的歸來打破了這種平靜。經凱特推薦，丹尼爾成為了FBI的專家顧問，各種疑難案件為他帶來了久違的挑戰，精神病所引起的幻覺也使得他可以抓捕到了許多無法用常規手段提供的線索，但同時也使得他久未復發的病情開始變得不穩定。,"艾瑞克麥柯馬克,瑞秋萊寇克,凱莉羅恩",多螢,http://mod.cht.com.tw/video/movie-details.php?id=426259,http://mod.cht.com.tw/img/iappic/426259.jpg,2017-10-06 21:50:43
好萊塢199,思想調查員S1-10,2017-12-28,好萊塢199/類型/影集/思想調查員第一季 好萊塢199/影集/思想調查員第一季 ,年輕女人被一個絕密政府組織雇傭參與一項超自然研究。他們將「刺探」最近剛剛死亡的人的大腦，利用他們的記憶來調查懸疑謀殺案，破解各種秘密——如果他們不這麽做，那麽這些秘密就只能追隨死者一起進墳墓了。Emma Ishta扮演女主人公Kirsten Clark，聰明但不善社交，身患一種罕見病癥。她沒有任何情感，也體會不到「時間的流逝」。她是個計算機高手，擁有非凡的黑客技能。她原本可以拿到計算機科學領域的高級學位……但是她因為公開室友和輔導教授的私情而遇到麻煩。ꀀ,"艾瑪伊西塔,凱爾哈里斯",多螢,http://mod.cht.com.tw/video/movie-details.php?id=426973,http://mod.cht.com.tw/img/iappic/426973.jpg,2017-10-06 21:50:43
好萊塢199,光棍俱樂部2,2018-01-25,好萊塢199/類型/喜劇 好萊塢199/喜劇 ,沉溺王老五生活許久的朗恩決定與相識兩個月的玫琳達結婚，然而家境富裕的玫琳達卻有個覬覦她美色與家產的姊夫塔德，深怕朗恩搶走一切的塔德特別在他們婚禮前夕，舉辦一場豪華告別單身之旅，旅途中塔德用盡各種卑鄙下流手段，設計脫衣舞孃、異國辣妹等美人計來引誘朗恩出軌，讓朗恩和他豬哥單身朋友們醜態百出。,"艾曼紐瓦吉,喬許庫克,哈蘭威廉斯",,http://mod.cht.com.tw/video/movie-details.php?id=443539,http://mod.cht.com.tw/img/iappic/443539.jpg,2017-10-06 21:50:43
好萊塢199,復仇 S4-08,2018-04-30,好萊塢199/類型/影集/復仇第四季 好萊塢199/影集/復仇第四季 ,艾蜜莉的父親大衛突然現身漢普頓，讓一切失控，艾蜜莉的復仇路還會繼續下去?記憶中的父親已經不是眼前的樣子，大衛也無法接受女兒變成充滿仇恨的毒蠍女，而她與維多利亞的仇恨，隨著大衛的”復活”越來越深。維多利亞不再沉默，展開爆炸性反擊，重新得到父愛、渴望過正常生活的艾蜜莉，可以擺脫過去的陰影嗎?,"艾蜜莉凡康,麥德琳史道威,蓋布瑞曼恩",多螢,http://mod.cht.com.tw/video/movie-details.php?id=450484,http://mod.cht.com.tw/img/iappic/450484.jpg,2017-10-06 21:50:43
好萊塢199,十三號星期五4,2018-04-30,好萊塢199/類型/驚悚 好萊塢199/驚悚 ,被最後一個生還者攻擊的傑森，本來應該死亡的，最後在醫院中醒過來，逃亡時還殺了一個護理師和一個護士，他回到水晶湖，打算對更多的受害者下手，這次她遇到一對姐弟，出人意料的是，這個湯米男孩，似乎是傑森的最大對手……,"Erich Anderson,Judie Aronson,Peter Barton",,http://mod.cht.com.tw/video/movie-details.php?id=459534,http://mod.cht.com.tw/img/iappic/459534.jpg,2017-10-06 21:50:43
好萊塢199,教父 3,2018-04-30,好萊塢199/類型/劇情 好萊塢199/劇情 ,本片為大導演法蘭西斯柯波拉的黑幫經典名片《教父》三部曲的最終回，接續之前的劇情，擔任柯里昂家族教父之職多年的麥可（影帝 艾爾帕西諾）已日漸衰老，由於深刻瞭解到縱使宿敵多半已死的死、老的老，但自己終究無法永保家人平安，因而決定將家族企業漂白，杜絕所有非法生意；然而外在環境和年輕一代的野心，卻令麥可的決定一再受挫，其他黑幫家族覬覦柯里昂家族的地位和財勢。,艾爾帕西諾,,http://mod.cht.com.tw/video/movie-details.php?id=449898,http://mod.cht.com.tw/img/iappic/449898.jpg,2017-10-06 21:50:43
好萊塢199,曼哈頓愛情故事  11,2018-04-30,好萊塢199/類型/影集/曼哈頓愛情故事 好萊塢199/影集/曼哈頓愛情故事 ,丹娜離開家鄉來到紐約準備迎接新生活。她總是給人積極正面的形象，可是沒有人知道在她的內心充滿自卑情緒。艾米和大衛是大家眼中的模範夫妻，曾經作為丹娜的好友，兩人的愛巢成為丹娜的臨時住所。艾米將大衛的弟弟皮特介紹給丹娜，他們的第一次約會並不如想像的愉快，皮特深信，出問題的那一方絶對不是自己。,"安娜莉特普頓,傑克麥道曼,尼古拉斯萊特",多螢,http://mod.cht.com.tw/video/movie-details.php?id=459429,http://mod.cht.com.tw/img/iappic/459429.jpg,2017-10-06 21:50:43
好萊塢199,童話小鎮S2-08,2017-11-09,好萊塢199/類型/影集/童話小鎮第二季 好萊塢199/影集/童話小鎮第二季 ,在艾瑪的努力下，被詛咒的史多利布克小鎮終於打破了魔咒，小鎮上的每個人都恢復了在童話世界中的記憶。她也終於和母親白雪公主和父親白馬王子相認。看似完美的結局卻一夕之間出現變化，魯潘斯金和貝兒原本可以有情人終成眷屬，但得知貝兒被蕾吉娜囚禁了28年，為了幫貝兒報仇，他再一次把魔法帶到了史多利布克小鎮，他使用黑魔法召換出了鬼神，一但被鬼神做了記號，將會被吸取靈魂。童話世界裡的菲利普王子吻醒了被魔咒束缚的睡美人奧羅拉公主，兩人準備開始幸福的生活，可是卻遇到鬼神，菲利普為了保護奧羅拉而惨遭鬼神做了記號後失蹤，好在有好友,"珍妮佛·莫里遜,拉娜·帕瑞拉,珍妮佛古德溫",多螢,http://mod.cht.com.tw/video/movie-details.php?id=418944,http://mod.cht.com.tw/img/iappic/418944.jpg,2017-10-06 21:50:43
