產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
電影199,詭計情人,2017-10-12,電影199/類型/劇情 電影199/劇情 ,沒有什麼比反映自己的樣子更可怕的。兩對相似的夫婦，令人意想不到的劇情發展…安娜和喬為了修復在他們的關係中的裂縫，因此到跟好友借的海邊的房子度假。卻剛好碰巧看見岩岸上的事故，因此他們收留了一個受傷的女人和她的丈夫。這兩對夫婦發現他們有很多共同點。安娜和喬假裝這是自己的房子，讓他們的客人玩一個曖昧的遊戲，想不到竟然使他們的關係被推到危險的邊緣。,"瑪莉阿貝爾,安德烈斯萊匹克,蘭妮瑪姬,米爾波拉,梅利斯拉梅德,皮特伏吉梅斯",多螢,http://mod.cht.com.tw/video/movie-details.php?id=433129,http://mod.cht.com.tw/img/iappic/433129.jpg,2017-10-06 21:48:28
電影199,競走哈哈哈,2017-10-19,電影199/類型/劇情 電影199/劇情 ,高中生Man-bok天生患有嚴重的動暈症，只要搭乘交通工具就頭暈目眩、吐個不停，只好每天走4個小時的路上下學。導師得知後建議她加入田徑隊練競走。沒有特定志向的Man-bok越練越投入，田徑隊的學姊Su-ji一開始對她心懷芥蒂，但日子久了，Su-ji逐漸敞開心胸，兩人相互砥礪，準備一同參加全國大賽。但是，全國大賽的地點距離Man-bok家70公里遠！Man-bok究竟能不能跨越障礙，順利參加比賽呢？,"沈恩敬,朴姝喜",多螢,http://mod.cht.com.tw/video/movie-details.php?id=422264,http://mod.cht.com.tw/img/iappic/422264.jpg,2017-10-06 21:48:28
電影199,我是布萊克,2017-12-21,電影199/類型/劇情 電影199/劇情 ,『★坎城金棕櫚獎 ★爛番茄網站高分好評 失業的老木匠，與無助的單親媽媽，被拒於政府補助門外的他們，明天在哪裡...』※榮獲2016坎城影展金棕櫚獎。丹尼爾布萊克是名59歲的木匠，一生辛勞工作奉獻，直到某天不慎受傷，束手無策的丹尼爾尋求政府救濟補助，卻頻頻被拒於門外，而過程中，丹尼爾遇見了處境相同的單親媽媽凱蒂，凱蒂擁有兩個孩子，但卻苦無家可歸，被社會福利制度及迂腐官僚高牆擋在外的兩個小人物，要如何為自己的明天奮戰下去？,"戴夫約翰斯,海莉絲奎爾斯",多螢,http://mod.cht.com.tw/video/movie-details.php?id=436032,http://mod.cht.com.tw/img/iappic/436032.jpg,2017-10-06 21:48:28
電影199,舞力重擊,2017-12-28,電影199/類型/劇情 電影199/劇情 ,靠獎學金入學的芭蕾舞者露比亞當(琪南卡帕 飾)，第一次來到紐約，始終覺得自己與同學格格不入；英國小提琴手強尼貝威(尼可拉斯葛拉辛 飾)，飄洋過海來地鐵站演奏，只為追尋自我的夢想。一場在地鐵站上演的即興街舞Battle，讓兩人遇見了彼此，更因此一見鍾情。為了保住露比的獎學金，以及不讓強尼被強制驅逐出境，他們決定參加曼哈頓音樂學院所舉辦的音樂舞蹈大賽，更找來室友街舞團體「甩步工廠」助陣，共同創作一齣融合街舞、現代舞、嘻哈弦樂的跨界鉅作。當酷炫街舞尬上古典芭蕾再加上嘻哈小提琴，他們能夠成功締造街舞史上最傳奇的一,"琪南卡帕,尼可拉斯葛拉辛,珍西摩爾,水野索諾亞",多螢,http://mod.cht.com.tw/video/movie-details.php?id=407055,http://mod.cht.com.tw/img/iappic/407055.jpg,2017-10-06 21:48:28
電影199,藍色情挑 經典數位修復,2018-02-15,電影199/類型/經典名片 電影199/經典名片 ,一對音樂家夫婦偕同女兒出外，卻在旅途中發生車禍，丈夫與女兒當場死亡，只剩下音樂家妻子朱莉還活著。丈夫生前正為歐洲聯盟譜寫會歌，仍尚未完成，悲痛欲絕的她為了重拾真正的自由，決心拋開過去，甚至毀掉丈夫遺留下來未完成的手稿，以展開新生活。在音樂交織下，走出一段衝突掙扎的心路歷程。藍、白、紅為法國國旗顏色，代表著「自由」、「平等」、「博愛」。本片為波蘭電影大師奇士勞斯基「藍白紅三部曲」第一部，對應了自由，影片以藍色為主要色調，在女主角追求新生活的過程中，反覆出現。除此之外音樂也在本片中佔有極重要的地位，襯托出人物,茱麗葉畢諾許,多螢,http://mod.cht.com.tw/video/movie-details.php?id=417910,http://mod.cht.com.tw/img/iappic/417910.jpg,2017-10-06 21:48:28
電影199,大釣哥,2017-11-23,電影199/類型/劇情 電影199/選片指南/熱銷華語 電影199/劇情 ,『★台灣喜劇國寶豬哥亮 ★傳奇顛峰之作 藍大釣父子靠著祖傳祕方經營國術館，他們白天懸壺救人，夜晚劫富濟貧...』藍大釣開了家國術館，靠著一味祖傳秘方「吊膏」走天下，一膏在手保證藥到病除，人稱大釣哥。兒子藍小龍從小勤練攔截手，專偷扒手偷來的竊物救助貧戶，但英雄難過美人關，為幫女友出國深造，只好向殺母仇人黑熊借錢，還被迫頂殺人罪…看大釣哥使出渾身解數出奇招釣大哥。,"豬哥亮,藍正龍,謝沛恩,吳克群,楊貴媚,黃仲崑,吳朋奉",多螢,http://mod.cht.com.tw/video/movie-details.php?id=447057,http://mod.cht.com.tw/img/iappic/447057.jpg,2017-10-06 21:48:28
電影199,嚦咕嚦咕新年財,2017-12-14,電影199/類型/經典港片 電影199/經典港片 ,2002年農曆春節賀歲片，利用麻將來改變、親情、友情和人際關係，劇情幽默有趣，大堆頭的當紅明星演出。,"劉德華,劉青雲,古天樂,梁詠琪",多螢,http://mod.cht.com.tw/video/movie-details.php?id=431043,http://mod.cht.com.tw/img/iappic/431043.jpg,2017-10-06 21:48:28
電影199,非凡智慧,2018-01-11,電影199/類型/劇情 電影199/劇情 ,天才科學家大衛創造了世界首具擁有高度人工智慧的機械人亞當，並邀請當紅的科技雜誌記者蕎依，進入實驗室進行一週的近距離專訪。在採訪的過程中，蕎依深受聰明又充滿抱負的大衛吸引，萌生情愫的兩人開始越走越近，而將一切看在眼裡的亞當，竟產生如人類般的忌妒情緒，行為更變得有些怪異與偏激...,"馬克韋柏,露西葛瑞菲絲,大衛克萊頓羅傑斯,雷恩威爾森",多螢,http://mod.cht.com.tw/video/movie-details.php?id=455305,http://mod.cht.com.tw/img/iappic/455305.jpg,2017-10-06 21:48:28
電影199,如何與貓告別,2018-01-11,電影199/類型/愛情 電影199/愛情 ,認真學藝的菜鳥壽司師傅那比，和雜誌旅遊記者伊婷成為鄰居。伊婷養了一隻貓，名叫Yamma。那比有個秘密，就是他能看到貓的靈魂，還能跟貓咪對話。兩人因為Yamma越走越近，開始約會、戀愛。但好景不長，突然發現Yamma得了癌症，晴天霹靂的兩人如何在她生命的最後一段旅程美麗告別呢？,"朴奎利,徐俊英",多螢,http://mod.cht.com.tw/video/movie-details.php?id=457332,http://mod.cht.com.tw/img/iappic/457332.jpg,2017-10-06 21:48:28
電影199,將錯就錯,2017-12-14,電影199/類型/喜劇 電影199/喜劇 ,里歐是個標準的魯蛇，想成為作家卻寫不出什麼東西。沒有特別專長的他只能做著洗碗工的工作，邊洗碗邊感嘆自己的人生。里歐的前妻，卻藉著寫他們過去的婚姻生活、抱怨里歐的一切成為知名部落客。沮喪的里歐整天神經兮兮，渾渾噩噩的過日子。某日，他路過一座正在舉行婚禮的教堂，卻對活潑的新娘一見鍾情…,"瑞安柯萬騰,莎拉坎寧",多螢,http://mod.cht.com.tw/video/movie-details.php?id=429075,http://mod.cht.com.tw/img/iappic/429075.jpg,2017-10-06 21:48:28
電影199,紅衣小女孩,2018-12-27,電影199/類型/驚悚 電影199/驚悚 電影199/熱門排行 ,阿偉（黃河 飾）是一個房地產經紀人，與奶奶（劉引商 飾）相依為命，每天超時工作賣房子，夢想早日與女友ＤＪ怡君（許瑋甯 飾）結婚。有一天，奶奶卻離奇失蹤了，詭異的是，家裡打掃過了衣服也洗好了，還替阿偉煮了早餐，但就是不見奶奶的蹤影，當奶奶終於尋獲時卻換阿偉失蹤了…。怡君發現這一切的謎團，都和流傳多時的靈異傳說「紅衣小女孩」有關。為了尋找男友，怡君與搜救隊前往山林，卻發現了最恐怖的真相 …,"許瑋甯,黃河,劉引商,張柏舟",多螢,http://mod.cht.com.tw/video/movie-details.php?id=428167,http://mod.cht.com.tw/img/iappic/428167.jpg,2017-10-06 21:48:28
電影199,惡女羅曼死,2017-11-16,電影199/類型/劇情 電影199/劇情 ,莉莉子，這位東京最新人氣偶像女優，從平地一聲雷的竄起，到最終沒落低潮的經過。不明來歷的她有天就這麼出現在大眾面前，瞬間成為全城討論的焦點。對她而言，沒有什麼是不可能的。但她有個不為人知的秘密：她的身體其實是無數次全身整形手術的合成品，整個身體除了骨頭、眼珠、頭髮、耳朵與私處，其他全都是假的。當她的主治大夫與為她進行手術的診所，涉及違反一起藥事行政法規後，有個偵探開始接近莉莉子，想要查明事件背後真相。同時間，莉莉子的身體也開始產生變化，過度手術的後遺症，讓她的身體開始崩壞……,"大森南朋,寺島忍,綾野剛,水原希子,新井浩文",,http://mod.cht.com.tw/video/movie-details.php?id=424758,http://mod.cht.com.tw/img/iappic/424758.jpg,2017-10-06 21:48:28
電影199,地獄哪有那麼HIGH,2018-02-15,電影199/類型/喜劇 電影199/喜劇 ,『★鬼才宮藤官九郎劇本 ★台北電影節秒殺熱映 連初吻都沒有就死了？十七歲高中生要用地獄搖滾重返人間！』描述沒談過戀愛，沒啵過女生的平凡高中生大助（神木隆之介 飾演），某次在青春無敵的校外旅行途中，買通宅男同學，坐到暗戀的女同學身邊，然後他就嗝屁了…？戀愛巴士直通陰曹地府，暗戀的女同學也生死未卜，放眼望去只有上刀山下油鍋。無法獻出初吻的他表示遺憾，此時竟遇上在地獄組團的赤鬼「殺手K」（長瀨智也 飾演）。殺手K和一群「地獄圖」樂團的魯蛇同伴們，決定幫大助進行「特訓」，好讓他在閻羅王舉辦的「地獄搖滾大逃殺」中投,"長瀨智也,神木隆之介,尾野真千子,宮澤理惠,清野菜名",多螢,http://mod.cht.com.tw/video/movie-details.php?id=413412,http://mod.cht.com.tw/img/iappic/413412.jpg,2017-10-06 21:48:28
電影199,噗攏共探員,2018-02-15,電影199/類型/喜劇 電影199/喜劇 ,國境警察侯瑟法南德茲好不容易盼到升遷，只要再出一次引渡勤務，就可以調到夢寐以求的刑事科。沒想到這次引渡的對象是倒楣的阿金，因為當局搞烏龍，阿金被誤認成某恐怖份子，要引渡到這輩子去都沒去過的喀布爾！任務本該很單純，但飛機意外受困馬爾他，法南德茲和搭檔被迫貼身看管阿金，一切全都變了調！阿金千方百計想要逃跑，法南德茲被耍得團團轉，一邊還要安撫疑心病很重的女友，簡直要崩潰了。想不到引發一連串災難之後，阿金成功脫逃，法南德茲只好展開追捕，踏上一段意外連連、爆點不斷的旅程！,"阿比唐,曼迪沙棟",多螢,http://mod.cht.com.tw/video/movie-details.php?id=420752,http://mod.cht.com.tw/img/iappic/420752.jpg,2017-10-06 21:48:28
電影199,馬賽客,2018-01-11,電影199/類型/劇情 電影199/劇情 ,根據真人真事改編。曾經創造300場馬術比賽優勝的馬術師，一場車禍奪走了他的妻子，以及風光一時的馬術實力。在潦倒之餘，一匹難以馴服、桀驁不馴的賽馬出現在他眼前，兩者在相處的過程中，逐漸培養默契與情感，將在賽馬場上創造奇蹟！影片中有大量的賽馬場面，堪稱是韓國影史破天荒的競技鏡頭。,"車太鉉,金秀晶,劉五性,朴河宣",多螢,http://mod.cht.com.tw/video/movie-details.php?id=458345,http://mod.cht.com.tw/img/iappic/458345.jpg,2017-10-06 21:48:28
電影199,不老交響夢,2017-12-21,電影199/類型/喜劇 電影199/喜劇 ,千鶴是梅岡高中新聘的音樂老師，為了練習小提琴，她加入當地的業餘管絃樂團，沒想到成員都是爺爺奶奶，連基本演奏都有問題！受到熱烈歡迎，她不好意思坦承，其實要加入的是另一個名字很像的樂團。不久後，原本打算報名的樂團邀請她加入；千鶴究竟該為了這群善良的爺爺奶奶留下，還是追求她個人的音樂志向呢？,"杏,黒島結菜,坂口健太郎,光石研,笹野高史",多螢,http://mod.cht.com.tw/video/movie-details.php?id=433287,http://mod.cht.com.tw/img/iappic/433287.jpg,2017-10-06 21:48:28
電影199,果子的少女心事,2017-11-23,電影199/類型/劇情 電影199/劇情 ,果子對未來早已不抱任何期望。有天，原以為十八年前死於民宅爆炸事故中的姑姑，突然出現在一家人面前。她聽說姑姑曾是激進炸彈客後，心生崇拜。一天夜裡，她們在一座廢墟，挖出了製作炸彈用的硝石。她學會了製作炸彈的方法，但不知道該用在什麼地方。她開始懷疑姑姑會再度銷聲匿跡，於是便懇求她帶她一起走…,"小泉今日子,二階堂富美",多螢,http://mod.cht.com.tw/video/movie-details.php?id=447875,http://mod.cht.com.tw/img/iappic/447875.jpg,2017-10-06 21:48:28
電影199,極樂宿舍,2019-05-31,電影199/類型/喜劇 電影199/喜劇 ,『★鄉民的正義導演作品 ★韋禮安獻唱主題曲 男舍面臨拆除危機～拯救宿舍大作戰，就從把女舍拖下水開始！』大一新鮮人王極樂滿懷好奇與熱情進入期待以久的宿舍生活，突然得知學校以行為不檢點及髒亂為由要進行拆除男生宿舍，極樂與他的室友們決定：抹黑女生宿舍，搶救男生宿舍。一場男宿女宿攻防戰，火力全開！,"石知田,洪晨穎,黃尹宣,李程彬,李穎",多螢,http://mod.cht.com.tw/video/movie-details.php?id=449896,http://mod.cht.com.tw/img/iappic/449896.jpg,2017-10-06 21:48:28
電影199,愛麗絲夢遊仙境,2018-02-15,電影199/類型/家庭 電影199/家庭 ,金髮碧眼的小女孩愛麗絲天生愛幻想，枯燥且沒有圖畫的書籍最令她煩惱。這一天，愛麗絲在野外看見一隻穿衣戴帽、匆匆趕路的兔子。出於好奇，她跟著兔子鑽進了一個樹洞，繼而掉落到一片未知的奇幻世界。在這裡，愛麗絲的身形忽大忽小，還遇見了搞怪的雙胞胎兄弟彈彈丁和彈彈當、癲狂無比的瘋帽匠和三月兔、以及來無影去無蹤的妙妙貓，由此引出了不少的笑話和奇遇。當然，最令愛麗絲感興趣的還是那隻慌裡慌張趕路的兔子。在它的引領下，愛麗絲來到了紅心皇后的城堡，更大的冒險等待著她……本片根據英國作家路易斯卡羅的同名原著改編。,艾德溫,多螢,http://mod.cht.com.tw/video/movie-details.php?id=429052,http://mod.cht.com.tw/img/iappic/429052.jpg,2017-10-06 21:48:28
